,loan_identifier,borrower_identifier,term,purpose,borrower_rating,employment,region,facebook,twitter,paypal,ebay,linkedin,currency,base_currency,location,funded,time_between_published_funded,ratio_requested_funded,amount_funded,address_lat,address_lng,net_income_cents,rates_paid,rates_count,prices,portion_average_salary,nominal_interest_rate,status
380,281,43,3,6,3,1,53,1,1,1,1,1,38,0,49,0,90508,0.0,0,59.950984,10.896195,2000000,0.0,0.0,26810.1173159,74.5987037816,1806,canceled
381,282,27,0,6,1,1,32,0,0,0,1,0,21,0,31,0,90508,0.0,0,32.067319,34.781028,1350000,0.0,0.0,8119.24,166.271720013,1069,canceled
382,283,43,4,3,3,1,53,1,1,1,1,1,38,0,49,0,90508,0.0,0,59.950984,10.896195,2000000,0.0,0.0,26810.1173159,74.5987037816,1994,canceled
383,284,27,4,3,1,1,32,0,0,0,1,0,21,0,31,0,90508,0.0,0,32.067319,34.781028,1350000,0.0,0.0,8119.24,166.271720013,1115,canceled
384,285,43,4,2,3,1,53,1,1,1,1,1,38,0,49,1,2,1.0,10000000,59.950984,10.896195,2000000,0.0,1.0,26810.1173159,74.5987037816,1994,charged_off
385,286,84,4,3,2,1,74,1,1,1,1,1,54,0,75,1,2,1.0,10000000,38.59116,-89.909465,450000,0.0,1.0,2719.25321219,165.486611538,1465,charged_off
386,287,518,4,2,1,1,36,1,0,0,1,1,14,0,32,1,6,1.0,60000000,45.483101,9.235804,139000,1.0,1.0,1548.71583447,89.7517781547,1115,fully_paid
387,288,80,2,2,1,1,74,1,1,1,1,1,54,0,75,0,90507,0.00591397849462,11000000,31.559707,-97.190087,380000,0.0,0.0,2719.25321219,139.744249743,1235,expired
388,289,92,3,2,3,2,0,1,1,1,1,1,1,0,1,0,90506,0.01,1000000,-31.447017,-64.188017,7000000,0.0,0.0,1077.87362453,6494.26782574,1806,expired
389,290,90,3,2,1,2,74,1,1,0,1,1,54,0,75,0,90506,0.0,0,34.101952,-118.331733,400000,0.0,0.0,2719.25321219,147.099210256,1029,canceled
390,291,90,0,4,1,2,74,1,1,0,1,1,54,0,75,0,90506,0.0,0,34.101952,-118.331733,400000,0.0,0.0,2719.25321219,147.099210256,1069,canceled
391,292,63,3,2,4,2,6,1,1,0,1,1,4,0,6,0,90506,0.0,0,-26.892182,-48.658285,1000000,0.0,0.0,1745.90900524,572.767536566,2458,expired
392,293,87,3,3,4,4,22,0,1,0,0,0,14,0,19,0,90506,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2458,canceled
393,294,87,3,2,4,4,22,0,1,0,0,0,14,0,19,0,90506,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2458,canceled
394,295,512,4,3,1,1,7,1,1,0,1,1,5,0,8,1,13,1.0,100000000,49.806316,-97.165659,400000,1.0,1.0,2997.53801649,133.442844694,1115,fully_paid
395,296,75,4,2,4,2,74,1,1,0,1,1,54,0,75,1,9,1.0,40000000,32.19089,-110.833431,125000,0.0,1.0,2719.25321219,45.9685032051,2792,charged_off
396,297,27,4,2,1,1,32,0,0,0,1,0,21,0,31,0,90505,0.11,11000000,32.067319,34.781028,1350000,0.0,0.0,8119.24,166.271720013,1115,canceled
397,298,21,0,2,3,1,74,1,1,1,1,1,54,0,75,0,90505,0.0,0,34.045806,-118.250712,200000,0.0,0.0,2719.25321219,73.5496051281,1947,expired
398,299,93,0,6,2,2,57,0,0,0,0,0,41,0,53,0,90504,0.0,0,8.212857,124.255673,2500000,0.0,0.0,14659.3301944,170.539851879,1453,expired
399,300,43,4,3,3,1,53,1,1,1,1,1,38,0,49,1,2,1.0,40000000,59.950984,10.896195,2000000,0.0,1.0,26810.1173159,74.5987037816,1994,charged_off
400,301,27,4,6,1,1,32,0,0,0,1,0,21,0,31,1,13,1.0,50000000,32.067319,34.781028,1350000,1.0,1.0,8119.24,166.271720013,1115,fully_paid
401,302,87,4,6,4,4,22,0,1,0,0,0,14,0,19,0,90504,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2792,canceled
402,303,88,4,3,4,2,33,1,1,1,1,1,54,0,27,1,6,1.0,10000000,31.022092,77.121996,100000,0.0,1.0,31927.7568013,3.13207096328,2792,charged_off
403,304,82,1,6,4,1,33,1,1,0,1,1,22,0,27,0,90503,0.0,0,-1.0,-1.0,6282000,0.0,0.0,31927.7568013,196.756697913,2457,expired
404,305,94,0,2,3,1,24,0,1,0,1,1,15,0,74,0,90503,0.0,0,51.449873,0.015357,120000,0.0,0.0,1671.23445374,71.8032109328,1947,canceled
405,306,95,2,2,4,2,9,1,1,1,1,1,57,0,33,0,90503,0.0,0,5.321419,-4.129096,15000000,0.0,0.0,300000.0,50.0,2253,expired
406,307,96,3,2,2,1,30,0,0,0,0,0,54,0,28,0,90502,0.0,0,-7.238452,112.734996,350000,0.0,0.0,3963287.5,0.0883105250376,1380,canceled
407,308,43,4,3,3,1,53,1,1,1,1,1,38,0,49,1,1,1.0,30000000,59.950984,10.896195,2000000,0.0,1.0,26810.1173159,74.5987037816,1994,charged_off
408,309,27,4,6,1,1,32,0,0,0,1,0,21,0,31,1,2,1.0,10000000,32.067319,34.781028,1350000,1.0,1.0,8119.24,166.271720013,1115,fully_paid
409,310,90,3,2,1,2,74,1,1,0,1,1,54,0,75,0,90501,0.0,0,34.101952,-118.331733,400000,0.0,0.0,2719.25321219,147.099210256,1029,canceled
410,311,64,4,6,3,1,74,1,1,1,1,1,54,0,75,0,90501,0.0,0,33.436947,-111.76579,363500,0.0,0.0,2719.25321219,133.67640732,1994,canceled
411,312,87,3,2,4,4,22,0,1,0,0,0,14,0,19,1,14,0.38,19000000,61.485375,21.796887,60000,1.0,6.0,2210.9154321,27.138080059,2458,charged_off
412,313,26,4,2,2,1,74,1,1,1,1,1,54,0,75,1,9,1.0,50000000,47.433101,-121.779402,526000,0.0,1.0,2719.25321219,193.435461487,1465,charged_off
413,314,85,3,3,2,1,28,0,0,0,0,1,18,0,12,0,90500,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1380,canceled
414,315,64,4,6,3,1,74,1,1,1,1,1,54,0,75,1,2,1.0,10000000,33.436947,-111.76579,363500,0.0,1.0,2719.25321219,133.67640732,1994,charged_off
415,316,43,4,3,3,1,53,1,1,1,1,1,38,0,49,1,2,1.0,10000000,59.950984,10.896195,2000000,0.0,1.0,26810.1173159,74.5987037816,1994,charged_off
416,317,96,1,0,2,1,30,0,0,0,0,0,54,0,28,0,90500,0.0,0,-7.238452,112.734996,350000,0.0,0.0,3963287.5,0.0883105250376,1583,canceled
417,318,96,3,3,2,1,30,0,0,0,0,0,54,0,28,0,90500,0.0,0,-7.238452,112.734996,350000,0.0,0.0,3963287.5,0.0883105250376,1380,canceled
418,319,15,0,2,1,1,74,0,0,0,0,0,54,0,75,0,90500,0.035,7000000,41.846391,-94.109418,340000,0.0,0.0,2719.25321219,125.034328718,1069,canceled
419,320,97,2,1,2,3,74,1,1,0,1,1,54,0,75,0,90499,0.0,0,39.994759,-76.754929,80000,0.0,0.0,2719.25321219,29.4198420513,1633,expired
420,321,68,3,2,2,2,6,1,1,0,1,1,4,0,6,0,90499,0.0,0,-18.716803,-39.845453,450000,0.0,0.0,1745.90900524,257.745391455,1380,canceled
421,322,101,3,6,1,1,74,1,1,0,1,1,54,0,75,0,90498,0.00220588235294,3000000,37.766571,-122.458944,700000,0.0,0.0,2719.25321219,257.423617948,1029,expired
422,323,101,3,6,1,1,74,1,1,0,1,1,54,0,75,0,90498,0.00294117647059,4000000,37.766571,-122.458944,700000,0.0,0.0,2719.25321219,257.423617948,1029,expired
423,324,98,2,2,3,1,30,1,1,1,1,1,20,0,28,0,90498,0.0,0,-4.076563,121.612237,748110000,0.0,0.0,3963287.5,188.759962531,2071,canceled
424,325,99,3,3,2,2,59,1,1,0,1,1,43,0,54,0,90498,0.01,1000000,50.366098,18.789398,300000,0.0,0.0,2944.31210728,101.89137193,1380,canceled
425,326,96,4,6,2,1,30,0,0,0,0,0,54,0,28,0,90498,0.0,0,-7.238452,112.734996,350000,0.0,0.0,3963287.5,0.0883105250376,1465,canceled
426,327,90,2,6,1,2,74,1,1,0,1,1,54,0,75,0,90498,0.001,2000000,34.101952,-118.331733,400000,0.0,0.0,2719.25321219,147.099210256,1235,expired
427,328,15,0,2,1,1,74,0,0,0,0,0,54,0,75,0,90498,0.0125,1000000,41.846391,-94.109418,340000,0.0,0.0,2719.25321219,125.034328718,1069,canceled
428,329,100,3,2,2,1,75,0,0,0,0,0,54,0,76,0,90497,0.00588235294118,1000000,-1.0,-1.0,150000,0.0,0.0,179.5,835.6545961,1380,expired
429,330,18,0,2,3,1,74,1,1,0,1,1,54,0,75,0,90497,0.0,0,30.827521,-83.307556,260000,0.0,0.0,2719.25321219,95.6144866666,1947,canceled
430,331,58,3,3,0,1,24,1,1,1,1,1,15,0,74,0,90497,0.0,0,51.550958,-1.785773,201400,0.0,0.0,1671.23445374,120.509722349,770,canceled
431,332,61,3,6,3,1,54,1,1,0,1,1,39,0,47,1,14,0.47,47000000,-43.546061,172.666936,240000,3.0,6.0,3220.43037037,74.5242009292,1806,charged_off
432,333,98,4,3,3,1,30,1,1,1,1,1,20,0,28,0,90496,0.0,0,-4.076563,121.612237,748110000,0.0,0.0,3963287.5,188.759962531,1994,canceled
433,334,64,4,6,3,1,74,1,1,1,1,1,54,0,75,1,0,1.0,10000000,33.436947,-111.76579,363500,0.0,1.0,2719.25321219,133.67640732,1994,charged_off
434,335,98,2,2,3,1,30,1,1,1,1,1,20,0,28,0,90496,0.0,0,-4.076563,121.612237,748110000,0.0,0.0,3963287.5,188.759962531,2071,canceled
435,336,58,4,3,0,1,24,1,1,1,1,1,15,0,74,1,2,1.0,60000000,51.550958,-1.785773,201400,1.0,1.0,1671.23445374,120.509722349,766,fully_paid
436,337,18,3,2,3,1,74,1,1,0,1,1,54,0,75,0,90496,0.0,0,30.827521,-83.307556,260000,0.0,0.0,2719.25321219,95.6144866666,1806,canceled
437,338,18,4,2,3,1,74,1,1,0,1,1,54,0,75,1,7,1.0,90000000,30.827521,-83.307556,260000,1.0,1.0,2719.25321219,95.6144866666,1994,fully_paid
438,339,86,3,6,2,2,57,0,0,0,1,0,41,0,53,0,90494,0.0,0,14.175942,121.230431,4300000,0.0,0.0,14659.3301944,293.328545232,1380,expired
439,340,94,3,6,3,1,24,0,1,0,1,1,15,0,74,0,90494,0.0,0,51.449873,0.015357,120000,0.0,0.0,1671.23445374,71.8032109328,1806,canceled
440,341,27,4,3,1,1,32,0,0,0,1,0,21,0,31,1,5,1.0,20000000,32.067319,34.781028,1350000,1.0,1.0,8119.24,166.271720013,1115,fully_paid
441,342,64,4,6,3,1,74,1,1,1,1,1,54,0,75,1,0,1.0,10000000,33.436947,-111.76579,363500,0.0,1.0,2719.25321219,133.67640732,1994,charged_off
442,343,102,1,2,3,1,7,0,1,0,0,0,5,0,8,0,90493,0.0,0,46.883389,-71.296911,1225000,0.0,0.0,2997.53801649,408.668711877,2108,canceled
443,344,64,4,6,3,1,74,1,1,1,1,1,54,0,75,1,4,1.0,10000000,33.436947,-111.76579,363500,0.0,1.0,2719.25321219,133.67640732,1994,charged_off
444,345,68,4,2,2,2,6,1,1,0,1,1,4,0,6,0,90491,0.0,0,-18.716803,-39.845453,450000,0.0,0.0,1745.90900524,257.745391455,1465,canceled
445,346,104,0,6,2,1,68,1,1,1,1,1,14,0,66,0,90491,0.0,0,51.854533,4.227973,157000,0.0,0.0,2380.0,65.9663865546,1453,canceled
446,347,99,4,3,2,2,59,1,1,0,1,1,43,0,54,1,3,1.0,20000000,50.366098,18.789398,300000,0.0,1.0,2944.31210728,101.89137193,1465,charged_off
447,348,105,1,5,2,1,74,1,1,0,1,1,54,0,75,0,90491,0.0,0,41.635867,-73.38569,75000,0.0,0.0,2719.25321219,27.5811019231,1583,canceled
448,349,49,3,2,2,1,74,1,1,0,1,1,54,0,75,0,90490,0.224,112000000,40.713473,-73.944737,614100,0.0,0.0,2719.25321219,225.834062546,1380,canceled
449,350,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,14,0.735714285714,103000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
450,351,85,4,3,2,1,28,0,0,0,0,1,18,0,12,0,90490,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1465,canceled
451,352,52,4,3,0,2,67,0,0,0,0,0,14,0,60,0,90490,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
452,353,94,4,2,3,1,24,0,1,0,1,1,15,0,74,0,90490,0.0,0,51.449873,0.015357,120000,0.0,0.0,1671.23445374,71.8032109328,1994,canceled
453,354,94,4,2,3,1,24,0,1,0,1,1,15,0,74,0,90490,0.0,0,51.449873,0.015357,120000,0.0,0.0,1671.23445374,71.8032109328,1994,expired
454,355,89,3,6,2,1,74,0,0,0,0,0,54,0,75,0,90489,0.0,0,40.561848,-111.850968,105400,0.0,0.0,2719.25321219,38.7606419025,1380,expired
455,356,98,2,2,3,1,30,1,1,1,1,1,20,0,28,0,90489,0.0,0,-4.076563,121.612237,748110000,0.0,0.0,3963287.5,188.759962531,2071,expired
456,357,106,1,2,4,1,30,1,1,1,1,1,20,0,28,0,90489,0.0,0,-6.212867,106.690819,1200000000,0.0,0.0,3963287.5,302.778942986,2457,expired
457,358,27,4,6,1,1,32,0,0,0,1,0,21,0,31,1,0,1.0,20000000,32.067319,34.781028,1350000,1.0,1.0,8119.24,166.271720013,1115,fully_paid
458,359,104,4,3,2,1,68,1,1,1,1,1,14,0,66,1,3,1.0,70000000,51.854533,4.227973,157000,1.0,1.0,2380.0,65.9663865546,1465,fully_paid
459,360,105,0,5,2,1,74,1,1,0,1,1,54,0,75,0,90488,0.0,0,41.635867,-73.38569,75000,0.0,0.0,2719.25321219,27.5811019231,1453,canceled
460,361,64,4,6,3,1,74,1,1,1,1,1,54,0,75,0,90486,0.0,0,33.436947,-111.76579,363500,0.0,0.0,2719.25321219,133.67640732,1994,expired
461,362,62,0,2,3,1,76,1,1,1,1,1,5,0,77,0,90486,0.1,9000000,43.599404,-79.703789,210000,0.0,0.0,5431034.48276,0.0386666666667,1947,expired
462,363,27,0,6,1,1,32,0,0,0,1,0,21,0,31,0,90486,0.0,0,32.067319,34.781028,1350000,0.0,0.0,8119.24,166.271720013,1069,canceled
463,364,61,0,2,3,1,54,1,1,0,1,1,39,0,47,1,14,0.329411764706,112000000,-43.546061,172.666936,240000,2.0,12.0,3220.43037037,74.5242009292,1947,charged_off
464,365,96,0,2,2,1,30,0,0,0,0,0,54,0,28,0,90486,0.0,0,-7.238452,112.734996,350000,0.0,0.0,3963287.5,0.0883105250376,1453,expired
465,366,87,3,2,4,4,22,0,1,0,0,0,14,0,19,0,90486,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2458,expired
466,367,109,2,3,2,1,16,1,1,1,1,1,54,0,15,0,90486,0.0,0,42.719976,-71.171651,120000,0.0,0.0,18477.4592795,6.4943993752,1633,expired
467,368,15,1,5,1,1,74,0,0,0,0,0,54,0,75,1,14,0.359090909091,79000000,41.846391,-94.109418,340000,36.0,36.0,2719.25321219,125.034328718,1166,fully_paid
468,369,3,1,6,2,2,49,1,1,0,1,1,54,0,43,0,90485,0.0,0,34.270802,-118.763323,1500000,0.0,0.0,10413.0765312,144.049647144,1583,canceled
469,370,3,3,6,2,2,49,1,1,0,1,1,54,0,43,0,90485,0.0,0,34.270802,-118.763323,1500000,0.0,0.0,10413.0765312,144.049647144,1380,canceled
470,371,108,2,2,2,3,35,1,1,1,1,1,24,0,26,0,90485,0.0,0,64.117585,-21.84911,8000000,0.0,0.0,283748.125956,28.1940188082,1633,canceled
471,372,85,4,3,2,1,28,0,0,0,0,1,18,0,12,0,90485,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1465,canceled
472,373,108,2,2,2,3,35,1,1,1,1,1,24,0,26,0,90485,0.0,0,64.117585,-21.84911,8000000,0.0,0.0,283748.125956,28.1940188082,1633,expired
473,374,49,4,2,2,1,74,1,1,0,1,1,54,0,75,1,10,1.0,220000000,40.713473,-73.944737,614100,1.0,1.0,2719.25321219,225.834062546,1465,fully_paid
474,375,2,0,1,2,1,74,0,1,0,1,0,54,0,75,0,90481,0.00212765957447,1000000,41.916284,-83.394035,360000,0.0,0.0,2719.25321219,132.389289231,1453,expired
475,376,87,2,2,4,4,22,0,1,0,0,0,14,0,19,0,90480,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2253,canceled
476,377,102,4,2,3,1,7,0,1,0,0,0,5,0,8,0,90480,0.0,0,46.883389,-71.296911,1225000,0.0,0.0,2997.53801649,408.668711877,1994,canceled
477,378,102,4,2,3,1,7,0,1,0,0,0,5,0,8,0,90480,0.0333333333333,2000000,46.883389,-71.296911,1225000,0.0,0.0,2997.53801649,408.668711877,1994,canceled
478,379,27,0,6,1,1,32,0,0,0,1,0,21,0,31,0,90480,0.0,0,32.067319,34.781028,1350000,0.0,0.0,8119.24,166.271720013,1069,canceled
479,380,85,4,3,2,1,28,0,0,0,0,1,18,0,12,0,90479,0.0,0,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1465,expired
480,381,3,4,6,2,2,49,1,1,0,1,1,54,0,43,1,10,1.0,30000000,34.270802,-118.763323,1500000,0.0,1.0,10413.0765312,144.049647144,1465,charged_off
481,382,103,1,2,2,2,6,0,1,0,0,0,54,0,6,0,90479,0.0,0,41.67907,-72.775713,240000,0.0,0.0,1745.90900524,137.464208776,1583,expired
482,383,87,2,3,4,4,22,0,1,0,0,0,14,0,19,0,90478,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2253,canceled
483,384,112,2,2,3,1,51,0,0,0,0,0,37,0,48,0,90477,0.0,0,-1.0,-1.0,5500000,0.0,0.0,118273.142857,46.5025268387,2071,canceled
484,385,512,0,6,1,1,7,1,1,0,1,1,5,0,8,0,90476,0.23,230000000,49.806316,-97.165659,400000,0.0,0.0,2997.53801649,133.442844694,1069,expired
485,386,112,0,2,3,1,51,0,0,0,0,0,37,0,48,0,90475,0.0,0,-1.0,-1.0,5500000,0.0,0.0,118273.142857,46.5025268387,1947,expired
486,387,102,0,2,3,1,7,0,1,0,0,0,5,0,8,0,90475,0.0,0,46.883389,-71.296911,1225000,0.0,0.0,2997.53801649,408.668711877,1947,canceled
487,388,98,2,2,3,1,30,1,1,1,1,1,20,0,28,0,90475,0.00185185185185,1000000,-4.076563,121.612237,748110000,0.0,0.0,3963287.5,188.759962531,2071,expired
488,389,10,0,2,2,1,2,1,1,0,1,1,2,0,2,0,90474,0.0,0,-33.284804,149.098682,315800,0.0,0.0,4257.53172314,74.1744326375,1453,canceled
489,390,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,6,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
490,391,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,7,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
491,392,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,7,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
492,393,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,1,1.0,10000000,-37.814306,145.016934,916500,1.0,1.0,4257.53172314,215.265571603,1994,fully_paid
493,394,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,1,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
494,395,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,8,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
495,396,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,4,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
496,397,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,3,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
497,398,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,3,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
498,399,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,0,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
499,400,102,4,3,3,1,7,0,1,0,0,0,5,0,8,1,1,1.0,100000000,46.883389,-71.296911,1225000,1.0,1.0,2997.53801649,408.668711877,1994,fully_paid
500,401,27,4,6,1,1,32,0,0,0,1,0,21,0,31,1,5,1.0,10000000,32.067319,34.781028,1350000,1.0,1.0,8119.24,166.271720013,1115,fully_paid
501,402,85,4,2,2,1,28,0,0,0,0,1,18,0,12,1,11,1.0,20000000,46.2977,16.344015,935000,1.0,1.0,4907.2037037,190.536210937,1465,fully_paid
502,403,519,4,3,4,3,74,0,0,0,0,0,54,0,75,1,6,1.0,30000000,36.148794,-79.295062,110000,1.0,1.0,2719.25321219,40.4522828205,2792,fully_paid
503,404,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,2,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
504,405,87,4,2,4,4,22,0,1,0,0,0,14,0,19,0,90472,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2792,canceled
505,406,62,0,6,3,1,76,1,1,1,1,1,5,0,77,1,5,1.0,120000000,43.599404,-79.703789,210000,9.0,12.0,5431034.48276,0.0386666666667,1947,late_90
506,407,20,0,6,1,1,74,1,1,1,1,1,54,0,75,0,90471,0.0,0,35.97069,-86.602268,147400,0.0,0.0,2719.25321219,54.2060589794,1069,canceled
507,408,87,2,2,4,4,22,0,1,0,0,0,14,0,19,0,90471,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2253,canceled
508,409,96,3,6,2,1,30,0,0,0,0,0,54,0,28,0,90471,0.012,3000000,-7.238452,112.734996,350000,0.0,0.0,3963287.5,0.0883105250376,1380,canceled
509,410,106,2,2,4,1,30,1,1,1,1,1,20,0,28,0,90470,0.0,0,-6.212867,106.690819,1200000000,0.0,0.0,3963287.5,302.778942986,2253,expired
510,411,87,4,2,4,4,22,0,1,0,0,0,14,0,19,0,90470,0.0,0,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2792,canceled
511,412,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,3,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
512,413,83,4,3,3,2,2,1,1,1,1,1,2,0,2,0,90470,0.1,1000000,-37.814306,145.016934,916500,0.0,0.0,4257.53172314,215.265571603,1994,canceled
513,414,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,4,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
514,415,83,4,3,3,2,2,1,1,1,1,1,2,0,2,1,4,1.0,10000000,-37.814306,145.016934,916500,0.0,1.0,4257.53172314,215.265571603,1994,charged_off
515,416,52,4,1,0,2,67,0,0,0,0,0,14,0,60,1,0,1.0,10000000,52.510964,13.304994,185000,1.0,1.0,668.307692308,276.818600368,766,fully_paid
516,417,58,0,2,0,1,24,1,1,1,1,1,15,0,74,1,13,1.0,400000000,51.550958,-1.785773,201400,3.0,12.0,1671.23445374,120.509722349,788,defaulted
517,418,114,4,2,2,1,71,1,1,0,1,1,51,0,72,0,90469,0.11,11000000,-1.0,-1.0,760000,0.0,0.0,1860.97082902,408.38899146,1465,expired
518,419,59,1,6,4,2,74,0,0,0,1,0,54,0,75,0,90469,0.0,0,37.729925,-122.41921,355100,0.0,0.0,2719.25321219,130.587323905,2457,canceled
519,420,89,0,3,2,1,74,0,0,0,0,0,54,0,75,1,14,0.65,65000000,40.561848,-111.850968,105400,11.0,12.0,2719.25321219,38.7606419025,1453,current
520,421,20,1,4,1,1,74,1,1,1,1,1,54,0,75,0,90468,0.1,70000000,35.97069,-86.602268,147400,0.0,0.0,2719.25321219,54.2060589794,1166,canceled
521,422,78,3,6,2,1,23,1,1,0,1,1,14,0,20,1,14,0.635,127000000,47.015843,4.845077,120000,3.0,6.0,1947.32176101,61.6230981457,1380,defaulted
522,423,120,3,4,1,1,74,0,1,0,1,0,54,0,75,1,13,1.0,300000000,40.088233,-76.276765,266800,6.0,6.0,2719.25321219,98.1151732409,1029,fully_paid
523,424,59,4,6,4,2,74,0,0,0,1,0,54,0,75,1,11,1.0,60000000,37.729925,-122.41921,355100,1.0,1.0,2719.25321219,130.587323905,2792,fully_paid
524,425,109,2,6,2,1,16,1,1,1,1,1,54,0,15,0,90466,0.0,0,42.719976,-71.171651,120000,0.0,0.0,18477.4592795,6.4943993752,1633,expired
525,426,87,3,2,4,4,22,0,1,0,0,0,14,0,19,0,90466,0.0166666666667,1000000,61.485375,21.796887,60000,0.0,0.0,2210.9154321,27.138080059,2458,expired
526,427,52,4,2,0,2,67,0,0,0,0,0,14,0,60,0,90464,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
527,428,96,0,2,1,1,30,0,0,0,0,0,54,0,28,0,90463,0.0,0,-7.238452,112.734996,350000,0.0,0.0,3963287.5,0.0883105250376,1069,canceled
528,429,114,3,3,2,1,71,1,1,0,1,1,51,0,72,1,2,1.0,10000000,-1.0,-1.0,760000,6.0,6.0,1860.97082902,408.38899146,1380,fully_paid
529,430,85,0,2,2,1,28,0,0,0,0,1,18,0,12,0,90462,0.0210526315789,4000000,46.2977,16.344015,935000,0.0,0.0,4907.2037037,190.536210937,1453,expired
530,431,111,0,2,2,1,78,0,0,0,1,0,36,0,78,0,90461,0.0,0,-22.55933,17.077083,1511100,0.0,0.0,440.909090909,3427.2371134,1453,canceled
531,432,14,1,3,4,2,48,1,1,0,1,1,34,0,42,0,90461,0.0333333333333,1000000,-1.0,-1.0,1500000,0.0,0.0,28485.1765224,52.6589680362,2457,expired
532,433,112,0,6,3,1,51,0,0,0,0,0,37,0,48,0,90461,0.01,1000000,-1.0,-1.0,5500000,0.0,0.0,118273.142857,46.5025268387,1947,expired
533,434,89,4,2,2,1,74,0,0,0,0,0,54,0,75,1,4,1.0,10000000,40.561848,-111.850968,105400,1.0,1.0,2719.25321219,38.7606419025,1465,fully_paid
534,435,96,4,3,1,1,30,0,0,0,0,0,54,0,28,1,0,1.0,40000000,-7.238452,112.734996,350000,1.0,1.0,3963287.5,0.0883105250376,1115,fully_paid
535,436,20,1,3,1,1,74,1,1,1,1,1,54,0,75,0,90459,0.0945454545455,52000000,35.97069,-86.602268,147400,0.0,0.0,2719.25321219,54.2060589794,1166,expired
536,437,98,2,2,3,1,30,1,1,1,1,1,20,0,28,0,90459,0.0,0,-4.076563,121.612237,748110000,0.0,0.0,3963287.5,188.759962531,2071,expired
537,438,96,3,6,1,1,30,0,0,0,0,0,54,0,28,1,14,0.445454545455,49000000,-7.238452,112.734996,350000,6.0,6.0,3963287.5,0.0883105250376,1029,fully_paid
538,439,114,1,3,2,1,71,1,1,0,1,1,51,0,72,0,90458,0.0,0,-1.0,-1.0,760000,0.0,0.0,1860.97082902,408.38899146,1583,canceled
539,440,96,4,3,1,1,30,0,0,0,0,0,54,0,28,1,4,1.0,40000000,-7.238452,112.734996,350000,1.0,1.0,3963287.5,0.0883105250376,1115,fully_paid
